# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
ZDB	Debert	Debert	NS	Auto	45.416667	-63.466667	37.5	CZDB	71317	8201390	ADT	AST
AEI	Eskasoni (Premières Nations)	Eskasoni (First Nations)	NS	Auto	45.920556	-60.646944	28	CAEI	71175	8201780	ADT	AST
WZQ	Grand Étang	Grand Étang	NS	Auto	46.55	-61.05	12.8	CWZQ		8201969	ADT	AST
AHD	Halifax Dockyard	Halifax Dockyard	NS	Auto	44.655278	-63.576667	3.8	CAHD	71328	8202240	ADT	AST
AHK	Halifax Kootenay	Halifax Kootenay	NS	Auto	44.587639	-63.550833	52	CAHK	71326	8202252	ADT	AST
YHZ	Aéroport int. Stanfield de Halifax	Halifax Stanfield Int'l Airport	NS	Manned	44.881111	-63.508611	145.4	CYHZ	71395	8202251	ADT	AST
AHW	Halifax Windsor Park	Halifax Windsor Park	NS	Auto	44.656944	-63.608889	51	CAHW	71327	8202255	ADT	AST
WRN	Hart Island	Hart Island	NS	Auto	45.35	-60.983333	8.2	CWRN	71419	8202318	ADT	AST
YQY	Aéroport de J.A. Douglas McCurdy Sydney	J.A. Douglas McCurdy Sydney Airport	NS	Manned	46.166667	-60.048139	61.9	CYQY	71707	8205700	ADT	AST
WKG	Kejimkujik Park	Kejimkujik Park	NS	Auto	44.403061	-65.203075	125	CWKG	71599	8202592	ADT	AST
XKT	Kentville AAC	Kentville AAFC	NS	Auto	45.066667	-64.483333	48.7	CXKT	71671	8202810	ADT	AST
XLB	Lunenburg	Lunenburg	NS	Auto	44.360026	-64.296134	3.8	CXLB		8203210	ADT	AST
XMY	Malay Falls	Malay Falls	NS	Auto	44.983333	-62.483333	39.6	CXMY		8203405	ADT	AST
XMI	McNabs Island	McNabs Island	NS	Auto	44.6	-63.533333	15.4	CXMI		8203478	ADT	AST
XNP	Nappan AAC	Nappan AAFC	NS	Auto	45.759556	-64.241444	19.8	CXNP	71311	8203702	ADT	AST
WNS	North East Margaree	North East Margaree	NS	Auto	46.368358	-60.975856	54	CWNS		8204154	ADT	AST
XNM	North Mountain	North Mountain	NS	Auto	46.816944	-60.672222	439.4	CXNM	71604	8204161	ADT	AST
AOS	Osborne Head	Osborne Head	NS	Auto	44.612778	-63.423057	30	CAOS	71324	8204190	ADT	AST
APR	Parrsboro	Parrsboro	NS	Auto	45.413333	-64.346944	30.89	CAPR	71493	8204402	ADT	AST
YPD	Aéroport de Port Hawkesbury	Port Hawkesbury Airport	NS	Auto	45.656667	-61.368056	114.9	CYPD	71041	8204495	ADT	AST
ESA	Île de Sable	Sable Island	NS	Auto	43.932222	-60.009444	5	CESA	71600	8204700	ADT	AST
WSA	Île de Sable	Sable Island	NS	Auto	43.946111	-59.959722	1.2	CWSA	71595	8204703	ADT	AST
AAW	Shearwater	Shearwater	NS	Auto	44.629722	-63.513333	24	CAAW	71264	8205092	ADT	AST
YAW	Aéroport de Shearwater	Shearwater Airport	NS	Manned	44.633333	-63.5	44	CYAW	71601	8205090	ADT	AST
WEF	St.Paul Island	St.Paul Island	NS	Auto	47.232778	-60.144445	27	CWEF	71418	8204909	ADT	AST
AQY	Sydney	Sydney	NS	Auto	46.163333	-60.041667	62.5	CAQY	71758	8205702	ADT	AST
XTD	Tracadie	Tracadie	NS	Auto	45.608356	-61.679728	66.67	CXTD	71308	8205895	ADT	AST
AOH	Upper Stewiacke	Upper Stewiacke	NS	Auto	45.233056	-63.055278	23.5	CAOH	71753	8204193	ADT	AST
WWE	Western Head	Western Head	NS	Auto	43.990019	-64.664169	10.06	CWWE	71411	8206240	ADT	AST
